,tuple1,tuple2
0,Id have responded if I were going,Id rather do the early runbut I am a morning runner
1,Id have responded if I were going,will be back later httpplurkcomprp3k7
2,Id have responded if I were going,Aw Torn ace of hearts Hunchback
3,Id have responded if I were going,what fun are you speaking of
4,Id have responded if I were going,mannnn got an iphone im jealous httpbitlyNgnaR
5,Id have responded if I were going,Is at a photoshoot
6,Id have responded if I were going,Yay playing a show tonight Boo its gonna soggy and Im at work right before playing
7,Id have responded if I were going,Chilliin
8,Id have responded if I were going,If you know such agent do let me know
9,Id have responded if I were going,a celticslakers rematch sounds better dont you think lol
10,Id have responded if I were going,Anyone have an extra Keane ticket I promise to buy you a drink and take rad pics for your FB Blog Flickr etc
11,Id have responded if I were going,you can ride one you can catch one but its not summer til you pop open one
12,Id have responded if I were going,OK Im out of here for now Just popped in to say Hi and check on things Ill probably head to the guttah later on tonight
13,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,Id rather do the early runbut I am a morning runner
14,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,will be back later httpplurkcomprp3k7
15,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,Aw Torn ace of hearts Hunchback
16,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,what fun are you speaking of
17,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,mannnn got an iphone im jealous httpbitlyNgnaR
18,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,Is at a photoshoot
19,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,Yay playing a show tonight Boo its gonna soggy and Im at work right before playing
20,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,Chilliin
21,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,If you know such agent do let me know
22,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,a celticslakers rematch sounds better dont you think lol
23,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,Anyone have an extra Keane ticket I promise to buy you a drink and take rad pics for your FB Blog Flickr etc
24,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,you can ride one you can catch one but its not summer til you pop open one
25,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,OK Im out of here for now Just popped in to say Hi and check on things Ill probably head to the guttah later on tonight
26,Soooo high,Id rather do the early runbut I am a morning runner
27,Soooo high,will be back later httpplurkcomprp3k7
28,Soooo high,Aw Torn ace of hearts Hunchback
29,Soooo high,what fun are you speaking of
30,Soooo high,mannnn got an iphone im jealous httpbitlyNgnaR
31,Soooo high,Is at a photoshoot
32,Soooo high,Yay playing a show tonight Boo its gonna soggy and Im at work right before playing
33,Soooo high,Chilliin
34,Soooo high,If you know such agent do let me know
35,Soooo high,a celticslakers rematch sounds better dont you think lol
36,Soooo high,Anyone have an extra Keane ticket I promise to buy you a drink and take rad pics for your FB Blog Flickr etc
37,Soooo high,you can ride one you can catch one but its not summer til you pop open one
38,Soooo high,OK Im out of here for now Just popped in to say Hi and check on things Ill probably head to the guttah later on tonight
39,Both of you,Id rather do the early runbut I am a morning runner
40,Both of you,will be back later httpplurkcomprp3k7
41,Both of you,Aw Torn ace of hearts Hunchback
42,Both of you,what fun are you speaking of
43,Both of you,mannnn got an iphone im jealous httpbitlyNgnaR
44,Both of you,Is at a photoshoot
45,Both of you,Yay playing a show tonight Boo its gonna soggy and Im at work right before playing
46,Both of you,Chilliin
47,Both of you,If you know such agent do let me know
48,Both of you,a celticslakers rematch sounds better dont you think lol
49,Both of you,Anyone have an extra Keane ticket I promise to buy you a drink and take rad pics for your FB Blog Flickr etc
