tuple1,tuple2
Offering table that is made of wood and blue.,Searching table that is made of wood and blue.
Offering table that is made of wood and red.,Searching table that is made of wood and red.
Offering table that is made of wood and white.,Searching table that is made of wood and white.
Offering table that is made of wood and black.,Searching table that is made of wood and black.
Offering table that is made of metal and blue.,Searching table that is made of metal and blue.
Offering table that is made of metal and red.,Searching table that is made of metal and red.
Offering table that is made of metal and white.,Searching table that is made of metal and white.
Offering table that is made of metal and black.,Searching table that is made of metal and black.
Offering table that is made of glass and blue.,Searching table that is made of glass and blue.
Offering table that is made of glass and red.,Searching table that is made of glass and red.
Offering table that is made of glass and white.,Searching table that is made of glass and white.
Offering table that is made of glass and black.,Searching table that is made of glass and black.
Offering table that is made of stone and blue.,Searching table that is made of stone and blue.
Offering table that is made of stone and red.,Searching table that is made of stone and red.
Offering table that is made of stone and white.,Searching table that is made of stone and white.
Offering table that is made of stone and black.,Searching table that is made of stone and black.
