,tuple1,tuple2
0,"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses in October 2021.
1,"Martin: ""I first heard about the losses in February 2022.""",I told Martin about the losses in October 2021.
2,"Jane: ""I first heard about the losses in February 2022.""",I told Jane about the losses in October 2021.
3,"Julia: ""I first heard about the losses in February 2022.""",I told Julia about the losses in October 2021.
4,"Jeff: ""I first heard about the losses in February 2022.""",I told Jeff about the losses in October 2021.
5,"Victor: ""I first heard about the losses in February 2022.""",I told Victor about the losses in October 2021.
6,"Alice: ""I first heard about the losses in February 2022.""",I told Alice about the losses in October 2021.
7,"Rosy: ""I first heard about the losses in February 2022.""",I told Rosy about the losses in October 2021.
8,"Joe: ""I first heard about the losses in February 2022.""",I told Bella about the losses in October 2021.
9,"Martin: ""I first heard about the losses in February 2022.""",I told Bella about the losses in October 2021.
10,"Jane: ""I first heard about the losses in February 2022.""",I told Bella about the losses in October 2021.
11,"Julia: ""I first heard about the losses in February 2022.""",I told Bella about the losses in October 2021.
12,"Jeff: ""I first heard about the losses in February 2022.""",I told Bella about the losses in October 2021.
13,"Victor: ""I first heard about the losses in February 2022.""",I told Bella about the losses in October 2021.
14,"Bob: ""I first heard about the losses in February 2022.""",I told Bella about the losses in October 2021.
15,"Alice: ""I first heard about the losses in February 2022.""",I told Bella about the losses in October 2021.
16,"Rosy: ""I first heard about the losses in February 2022.""",I told Bella about the losses in October 2021.
17,"Bella: ""I first heard about the losses in February 2022.""",I told Bella about the losses in October 2021.
