,tuple1,tuple2
0,But the staff was so horrible to us.,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
3,"Not only was the food outstanding, but the little 'perks' were great.","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
4,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","Great bagels, spreads and a good place to hang out in."
5,Nevertheless the food itself is pretty good.,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
6,The design and atmosphere is just as good.,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
7,The pizza is the best if you like thin crusted pizza.,Right off the L in Brooklyn this is a nice cozy place with good pizza.
8,"All the money went into the interior decoration, none of it went to the chefs.","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
9,"Best of all is the warm vibe, the owner is super friendly and service is fast.","It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
10,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","The atmosphere is unheralded, the service impecible, and the food magnificant."
11,"Great food at REASONABLE prices, makes for an evening that can't be beat!",Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
12,The price is reasonable although the service is poor.,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
13,The wine list is excellent.,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
14,Wine list selection is good and wine-by-the-glass was generously filled to the top.,good selection of wines ranging from affordable to high end.
15,The menu is limited but almost all of the dishes are excellent.,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders."
