,tuple1,tuple2
0,"Though the service might be a little slow, the waitresses are very friendly.","Sometimes, the take-out and seating lines can be long, but the staff help move things along."
1,"Though the service might be a little slow, the waitresses are very friendly.","Sometimes, the take-out and seating lines can be long, but the staff help move things along."
2,"It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass.","The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed."
3,"It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass.","The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed."
4,"And there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by.","The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed."
5,"And there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by.","The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed."
6,"Went for an early V-Day dinner, only to be highly disappointed by the service.",We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.
7,"Went for an early V-Day dinner, only to be highly disappointed by the service.","My group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service."
8,The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.,The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.
9,The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.,The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.
10,"They served the main course before the appetizers eventhough we asked for the latter first, to which our waiter responded that they don't serve them separately without telling us beforehand while ordering.","The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering)."
11,"After requesting to be seated at an empty table, the waitress (who was so terribly burdened when we asked to move from the bar to the table to have dinner) asked us to get up from our seats and wait for a smaller table because a party of 3 just walked in.","On ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough."
12,"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.","On ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough."
13,"Although the service can be a bit brusque at times, the food is always good, hearty and hot.","Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere."
14,"Although the service can be a bit brusque at times, the food is always good, hearty and hot.","Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere."
15,"As if that wasnt enough, after another in the group mentioned that a portion of the sushi on her plate was not what she had ordered, the waiter came back with chopsticks and started to remove it (as she was eating!)","The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering)."
16,"As if that wasnt enough, after another in the group mentioned that a portion of the sushi on her plate was not what she had ordered, the waiter came back with chopsticks and started to remove it (as she was eating!)",Bartenders look like model wannabes and threw out my friend's beer before he was finished (about 1/4 left).
