,tuple1,tuple2
0,"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.
1,"Came recommended to us, but we found the food to be so-so, the service good, but we were told we could not order desert since the table we were at had a reservation waiting.","Before we can even order desert, the waitress comes and tells us we have to leave because the host wanted our table."
2,"Our waitress couldn't tell us what was in the seafood special, forgot to put in our oyster order so it came at the same time as the main meals, wasn't able to provide a confident recommendation from the menu, and had to be flagged several times for drinks.","Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere."
3,"Went for an early V-Day dinner, only to be highly disappointed by the service.",The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.
4,"Went for an early V-Day dinner, only to be highly disappointed by the service.","Our server did not check on us, ask if we needed anything, refill our water or get our dessert order right."
5,"Went for an early V-Day dinner, only to be highly disappointed by the service.",Not to mention that the busboy spilled 2 glasses of water on my back and the Manager was NOWHERE TO BE SEEN.
6,"Went for an early V-Day dinner, only to be highly disappointed by the service.",We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.
7,"Went for an early V-Day dinner, only to be highly disappointed by the service.","My group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service."
8,"Went for an early V-Day dinner, only to be highly disappointed by the service.",Perhaps if the owner manager would concentrate more on service then acting as a dj this restaurant would run better.
9,The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.,We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.
10,The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.,We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.
11,"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.","Our server did not check on us, ask if we needed anything, refill our water or get our dessert order right."
12,"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.",We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.
13,"Be warned that this place can get pretty crowded, though the $3 bloody mary's at the bar and the killer DJ make the wait more than bearable.","The bar downstairs is a lot of fun, so if you get stuck waiting, just have drink."
