,tuple1,tuple2
0,But the staff was so horrible to us.,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!"
1,But the staff was so horrible to us.,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
2,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
3,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",We always have a delicious meal and always leave feeling satisfied.
4,"Not only was the food outstanding, but the little 'perks' were great.",We always have a delicious meal and always leave feeling satisfied.
5,"Not only was the food outstanding, but the little 'perks' were great.",The entire dining experience was wonderful!
6,Nevertheless the food itself is pretty good.,We always have a delicious meal and always leave feeling satisfied.
7,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",Not impressed with the food.
8,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.
9,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",Overall A oh ya even though there is waiting it is deff worth it
10,The design and atmosphere is just as good.,"Nice restaurant overall, with classic upscale Italian decor."
11,The design and atmosphere is just as good.,Ambiance- relaxed and stylish.
12,"All the money went into the interior decoration, none of it went to the chefs.",Not impressed with the food.
13,"Best of all is the warm vibe, the owner is super friendly and service is fast.",I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
14,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",We always have a delicious meal and always leave feeling satisfied.
15,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","The atmosphere is unheralded, the service impecible, and the food magnificant."
16,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","The wait staff is friendly, and the food has gotten better and better!"
17,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",The entire dining experience was wonderful!
18,"Great food at REASONABLE prices, makes for an evening that can't be beat!",Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
19,"Great food at REASONABLE prices, makes for an evening that can't be beat!",They have authentic Indian at amazin prices.
20,"The quantity is also very good, you will come out satisfied.",We always have a delicious meal and always leave feeling satisfied.
21,"The quantity is also very good, you will come out satisfied.",The pizza was pretty good and huge.
22,"The quantity is also very good, you will come out satisfied.",Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
23,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",Le Pere Pinard has a $15 pre-theater menu that is outstanding.
24,it's a perfect place to have a amanzing indian food.,We always have a delicious meal and always leave feeling satisfied.
25,I just wonder how you can have such a delicious meal for such little money.,Le Pere Pinard has a $15 pre-theater menu that is outstanding.
26,I just wonder how you can have such a delicious meal for such little money.,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
27,I just wonder how you can have such a delicious meal for such little money.,They have authentic Indian at amazin prices.
28,The wine list is excellent.,good selection of wines ranging from affordable to high end.
29,The wine list is excellent.,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
30,This is a consistently great place to dine for lunch or dinner.,We always have a delicious meal and always leave feeling satisfied.
31,This is a consistently great place to dine for lunch or dinner.,The entire dining experience was wonderful!
32,After really enjoying ourselves at the bar we sat down at a table and had dinner.,The entire dining experience was wonderful!
33,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","Great bagels, spreads and a good place to hang out in."
34,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","The atmosphere is unheralded, the service impecible, and the food magnificant."
35,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","The wait staff is friendly, and the food has gotten better and better!"
36,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",The entire dining experience was wonderful!
37,"Great food, good size menu, great service and an unpretensious setting.",The entire dining experience was wonderful!
38,Wine list selection is good and wine-by-the-glass was generously filled to the top.,good selection of wines ranging from affordable to high end.
39,Wine list selection is good and wine-by-the-glass was generously filled to the top.,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
40,The menu is very limited - i think we counted 4 or 5 entrees.,Not impressed with the food.
