,tuple1,tuple2
0,"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The food at Cafe Asean is to die for, and the prices are unmatchable."
1,"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The food at Cafe Asean is to die for, and the prices are unmatchable."
2,"Though the service might be a little slow, the waitresses are very friendly.","While service is still ok, the food has been not up to par on my last few visits."
3,"Though the service might be a little slow, the waitresses are very friendly.","While service is still ok, the food has been not up to par on my last few visits."
4,"Though the service might be a little slow, the waitresses are very friendly.","While service is still ok, the food has been not up to par on my last few visits."
5,"Though the service might be a little slow, the waitresses are very friendly.","While service is still ok, the food has been not up to par on my last few visits."
6,I like the smaller portion size for dinner.,"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line."
7,I like the smaller portion size for dinner.,"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line."
8,I like the smaller portion size for dinner.,"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line."
9,") other food is served in too-small portions, but at least it leaves room for dessert.","However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line."
10,") other food is served in too-small portions, but at least it leaves room for dessert.","However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line."
11,") other food is served in too-small portions, but at least it leaves room for dessert.","However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line."
12,"It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass.","However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line."
13,"It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass.","However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line."
14,"It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass.","However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line."
15,Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.,THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.
16,Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.,THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.
17,Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.,THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.
18,Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.,THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.
19,After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,"After the wine experience, I actually expected worse than what was served."
20,After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,"After the wine experience, I actually expected worse than what was served."
21,"The Food The casual Middle Eastern menu looks familar, but the food--made to order in the open kitchen--is a notch above its peers.","The food at Cafe Asean is to die for, and the prices are unmatchable."
22,"The Food The casual Middle Eastern menu looks familar, but the food--made to order in the open kitchen--is a notch above its peers.","The food at Cafe Asean is to die for, and the prices are unmatchable."
23,"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.","They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)"
24,"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.","They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)"
25,"Though the service might be a little slow, the waitresses are very friendly.","Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
26,"Though the service might be a little slow, the waitresses are very friendly.","Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
27,"Though the service might be a little slow, the waitresses are very friendly.","Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
28,"Though the service might be a little slow, the waitresses are very friendly.","Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
29,"Though the service might be a little slow, the waitresses are very friendly.","Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
30,"Though the service might be a little slow, the waitresses are very friendly.","Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
31,After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
32,After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
33,After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
34,After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
35,After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
36,After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
37,"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.","Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite."
38,"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.","Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite."
39,"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.","Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite."
40,"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.","Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite."
41,"Came recommended to us, but we found the food to be so-so, the service good, but we were told we could not order desert since the table we were at had a reservation waiting.","Before we can even order desert, the waitress comes and tells us we have to leave because the host wanted our table."
42,The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.,The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.
43,The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.,The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.
44,"After requesting to be seated at an empty table, the waitress (who was so terribly burdened when we asked to move from the bar to the table to have dinner) asked us to get up from our seats and wait for a smaller table because a party of 3 just walked in.","On ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough."
45,"Came recommended to us, but we found the food to be so-so, the service good, but we were told we could not order desert since the table we were at had a reservation waiting.","The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering)."
46,The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.,"The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering)."
47,The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.,"The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering)."
48,"And there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by.","The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed."
49,"And there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by.","The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed."
50,"Went for an early V-Day dinner, only to be highly disappointed by the service.",We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.
51,"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.",We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.
52,"Although the service can be a bit brusque at times, the food is always good, hearty and hot.","Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite."
53,"Although the service can be a bit brusque at times, the food is always good, hearty and hot.","Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite."
54,The service is excellent -- the staff is attentive and the waitress was well-informed about the menu.,The food was served promptly and was really hot.
55,The service is excellent -- the staff is attentive and the waitress was well-informed about the menu.,The food was served promptly and was really hot.
56,"I still go often, but the prices went up a little and the service is even slower now that they're always full during dinner hours.",The food was served promptly and was really hot.
57,"Although the service can be a bit brusque at times, the food is always good, hearty and hot.",The food was served promptly and was really hot.
58,"Although the service can be a bit brusque at times, the food is always good, hearty and hot.",The food was served promptly and was really hot.
59,"Our waitress couldn't tell us what was in the seafood special, forgot to put in our oyster order so it came at the same time as the main meals, wasn't able to provide a confident recommendation from the menu, and had to be flagged several times for drinks.","Smiling servers quiz diners with movie trivia, but forget to fill their water glasses."
60,"Server's were extremely nice, yet were socializing too much with friends that were having drinks at the bar and it was difficult to get their attention.","Smiling servers quiz diners with movie trivia, but forget to fill their water glasses."
