text1,text2,aspect1,aspect2,sentiment1,sentiment2,joins
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.,food,staff,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","Before we can even order desert, the waitress comes and tells us we have to leave because the host wanted our table.",food,staff,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",the tables are in the back and the ambience was less to be desired.,food,ambience,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","While service is still ok, the food has been not up to par on my last few visits.",food,service,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","While service is still ok, the food has been not up to par on my last few visits.",food,food,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","After the wine experience, I actually expected worse than what was served.",food,service,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",I dined in the Main Dining Room which is surrounded by authentic Spanish decorations.,food,ambience,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","Our server did not check on us, ask if we needed anything, refill our water or get our dessert order right.",food,staff,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","On ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough.",food,miscellaneous,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The food at Cafe Asean is to die for, and the prices are unmatchable.",food,food,positive,positive,True
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The food at Cafe Asean is to die for, and the prices are unmatchable.",food,price,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.",food,miscellaneous,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.",food,place,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",It also has great ice cream and spumoni ices.,food,food,positive,positive,True
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",food,food,positive,positive,True
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",food,miscellaneous,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",food,service,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",The ONLY negative was when we asked the waiter to secretly bring birthday cake and some other desserts for the table.,food,staff,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","Sometimes, the take-out and seating lines can be long, but the staff help move things along.",food,staff,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","I went to Sushiden on a Friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them.",food,place,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.,food,ambience,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.,food,miscellaneous,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","A+  was planning a party for my staff, and was treated rudely by another restaurant when trying to add more people to reservation (a simple no would have worked).",food,staff,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The Food Regulars swear by the tamales, which are spongy, well-seasoned and pulled from steaming crocks on the counter.",food,food,positive,positive,True
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere.",food,service,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)",food,food,positive,positive,True
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)",food,staff,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",Not to mention that the busboy spilled 2 glasses of water on my back and the Manager was NOWHERE TO BE SEEN.,food,staff,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","Smiling servers quiz diners with movie trivia, but forget to fill their water glasses.",food,staff,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering).",food,staff,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.",food,service,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.",food,ambience,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.",food,food,positive,positive,True
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",Chef Anthony is warm and is always fixing up something unique and tasty in the kitchen to send to your table.,food,staff,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.",food,food,positive,positive,True
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","Had an after-work drink at the bar with a date, loved the place so much we came back for brunch the next morning.",food,place,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",The food was served promptly and was really hot.,food,food,positive,positive,True
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.",food,place,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.",food,staff,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",I had been to Blue Fin previously for drinks and appetizers and thought the atmosphere was very good (expecially for people watching).,food,ambience,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The bar downstairs is a lot of fun, so if you get stuck waiting, just have drink.",food,service,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.",food,ambience,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.",food,place,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.,food,service,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.",food,staff,positive,positive,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.",food,food,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",Their desserts were limited - I mean REALLY limited to 2 items (nothing like the online menu).,food,food,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","My group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service.",food,service,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",Bartenders look like model wannabes and threw out my friend's beer before he was finished (about 1/4 left).,food,staff,positive,negative,False
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",Perhaps if the owner manager would concentrate more on service then acting as a dj this restaurant would run better.,food,service,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.,staff,staff,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"Before we can even order desert, the waitress comes and tells us we have to leave because the host wanted our table.",staff,staff,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,the tables are in the back and the ambience was less to be desired.,staff,ambience,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"While service is still ok, the food has been not up to par on my last few visits.",staff,service,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"While service is still ok, the food has been not up to par on my last few visits.",staff,food,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"After the wine experience, I actually expected worse than what was served.",staff,service,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,I dined in the Main Dining Room which is surrounded by authentic Spanish decorations.,staff,ambience,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"Our server did not check on us, ask if we needed anything, refill our water or get our dessert order right.",staff,staff,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"On ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough.",staff,miscellaneous,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"The food at Cafe Asean is to die for, and the prices are unmatchable.",staff,food,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"The food at Cafe Asean is to die for, and the prices are unmatchable.",staff,price,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.",staff,miscellaneous,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.",staff,place,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,It also has great ice cream and spumoni ices.,staff,food,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",staff,food,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",staff,miscellaneous,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",staff,service,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,The ONLY negative was when we asked the waiter to secretly bring birthday cake and some other desserts for the table.,staff,staff,positive,negative,False
