text,aspect_term,polarity
Not too crazy about their sake martini.,drinks,negative
"Great bagels, spreads and a good place to hang out in.",food,positive
"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,conflict
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,place,neutral
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive
We always have a delicious meal and always leave feeling satisfied.,food,positive
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",food,neutral
First went here to enjoy their garden terrace.,place,positive
The pizza was pretty good and huge.,food,positive
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",food,neutral
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,place,positive
They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive
All my co-workers were amazed at how small the dish was.,food,negative
"The atmosphere is unheralded, the service impecible, and the food magnificant.",place,positive
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",food,negative
"The wait staff is friendly, and the food has gotten better and better!",staff,positive
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",place,positive
Right off the L in Brooklyn this is a nice cozy place with good pizza.,food,positive
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,food,positive
I also ordered for delivery and the restaurant forgot half the order.,delivery,negative
Our server checked on us maybe twice during the entire meal.,staff,negative
The strong scents coming from the left and right of me negatively affected my taste buds.,place,negative
We had the lobster sandwich and it was FANTASTIC.,food,positive
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",service,negative
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",food,conflict
Deep Fried Skewers are good and still rare to find in NYC.,food,positive
"I have tried to make reservations, but both times, the hostess didn't have my name.",service,neutral
I also recommend the rice dishes or the different varieties of congee (rice porridge).,food,positive
Their tuna tartar appetizer is to die for.,food,positive
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",food,conflict
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",drinks,positive
I love Indian food and consider myself to be quite an expert on it.,food,positive
Some baby pizzas get their wish.,food,neutral
Overall A oh ya even though there is waiting it is deff worth it,service,negative
The lava cake dessert was incredible and I recommend it.,food,positive
VT is what baby pizzas hope to be when they grow up.,food,neutral
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive
The last time I went we were seated at a table in a corridor next to the kitchen.,place,negative
good selection of wines ranging from affordable to high end.,drinks,positive
"Nice restaurant overall, with classic upscale Italian decor.",place,positive
Not impressed with the food.,food,negative
The entire dining experience was wonderful!,service,positive
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,drinks,positive
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,positive
"Order the panang duck, it's fantastic.",food,positive
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",food,conflict
"Other than the crappy service from two individuals, it's great.",service,negative
They have authentic Indian at amazin prices.,food,positive
Ambiance- relaxed and stylish.,place,positive
