,tuple1,tuple2
0,Id have responded if I were going,Id rather do the early runbut I am a morning runner
1,Sooo SAD I will miss you here in San Diego,i lost all my friends im alone and sleepyi wanna go home
2,my boss is bullying me,Bah a coworker ran into work late and her bag smacked into my knee it really hurts now
3,what interview leave me alone,it is u have dissappointed me that past few days
4,Sons of why couldnt they put them on the releases we already bought,Still no reply from about my SimFinger problem So no iRape parody video until I get a response sorry guys
5,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,Then you should check out httptwittersuckscom and connect with other tweeple who hate twitter
6,2am feedings for the baby are fun when he is all smiles and coos,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red
7,Soooo high,what fun are you speaking of
8,Both of you,hm Both of us I guess
9,Journey Wow u just became cooler hehe is that possible,Hes awesome Have you worked with him before Hes a good friend
10,as much as i love to be hopeful i reckon the chances are minimal P im never gonna get my cake and stuff,My sources say no
11,I really really like the song Love Story by Taylor Swift,romance zero is funny
12,My Sharpie is running DANGERously low on ink,Bah a coworker ran into work late and her bag smacked into my knee it really hurts now
13,i want to go to music tonight but i lost my voice,i lost all my friends im alone and sleepyi wanna go home
14,test test from the LG enV2,Hi how are you doing just joined twitter
15,Uh oh I am sunburned,I still smell of smoke kitchenfire
16,Sok trying to plot alternatives as we speak sigh,I am sooo tired
17,ive been sick for the past few days and thus my hair looks wierd if i didnt have a hat on it would look httptinyurlcommnf4kw,Sick With a flu like thing
18,is back home now gonna miss every one,i miss you bby wish you were going tomorrow to make me do good
19,Hes just not that into you,His snoring is so annoying n it keeps me from sleeping like right now lol but I honestly wud miss it if it eva left I love him
20,oh Marly Im so sorry I hope you find her soon 3 3,CASEYS GONE BUT WHY So she piddled a little on the carpet Shes prolly freaked cause its new Can we get her back
21,Playing Ghost Online is really interesting The new updates are Kirin pet and Metamorph for third job Cant wait to have a dragon pet,Yay playing a show tonight Boo its gonna soggy and Im at work right before playing
22,is cleaning the house for her family who is comming later today,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red
23,gotta restart my computer I thought Win7 was supposed to put an end to the constant rebootiness,Still no reply from about my SimFinger problem So no iRape parody video until I get a response sorry guys
24,SEe waT I Mean bOuT FoLL0w fRiiDaYs ItS cALLed LoSe f0LloWeRs FridAy smH,Hey you change your twitter account and you didnt even tell me
25,the free fillin app on my ipod is fun im addicted,eating ice cream and then getting ready for graduation
26,Im sorry,WOW i AM REALLY MiSSiN THE FAMiLY TODAY BADDD
27,On the way to Malaysiano internet access to Twit,If you know such agent do let me know
28,juss came backk from Berkeleyy omg its madd fun out there havent been out there in a minute whassqoodd,Chilliin
29,Went to sleep and there is a power cut in Noida Power back up not working too,waiting for sleeping pills to kick in gonna be so tired at work tomorrow
30,Im going home now Have you seen my new twitter design Quiteheavenly isn,Hey you change your twitter account and you didnt even tell me
31,i hope unni will make the audition fighting dahye unni,she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no
32,If it is any consolation I got my BMI tested hahaha it says I am obesed well so much for being unhappy for about 10 minutes,My sources say no
33,Thats very funny Cute kids,romance zero is funny
34,Ahhh I slept through the game Im gonna try my best to watch tomorrow though I hope we play Army,fell asleep waiting for my ride
35,Thats it its the end Tears for Fears vs Eric Prydz DJ Hero httpbitly2Hpbg4,We saw that in none 3D the baddies the best
36,Born and raised in NYC and living in Texas for the past 10 years I still miss NY,i miss you bby wish you were going tomorrow to make me do good
37,just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,Well what im working on isnt QUITE ready to post about publicly still beta testing but its a cool new script I coded
38,im soooooo sleeeeepy the last day o school was todaysniffle,I am sooo tired
39,A little happy for the wine jeje ok itsm my free time so who cares jaja i love this day,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red
40,Car not happy big big dent in boot Hoping theyre not going to write it off crossing fingers and waiting,CASEYS GONE BUT WHY So she piddled a little on the carpet Shes prolly freaked cause its new Can we get her back
41,im an avid fan of magazine and i love your magazines,SWEEEEET San Fran is awesome Love it there
42,MAYDAY,CASEYS GONE BUT WHY So she piddled a little on the carpet Shes prolly freaked cause its new Can we get her back
43,RATT ROCKED NASHVILLE TONITEONE THING SUCKED NO ENCORE LIKE IN THE 80S THEY STILL HAVE A FUN SHOW PEARCY HAS THAT HOTT BAD BOY LOOK,SWEEEEET San Fran is awesome Love it there
44,I love to But Im only available from 5pm and where dear Would love to help convert her vids,If you know such agent do let me know
